"OXFORD_hang_on"|"hang on"|""|"phrasal verb"|""|""|"used to ask somebody to wait for a short time or to stop what they are doing<br><br>to hold something tightly<br><br>to wait for something to happen<br><br>used on the phone to ask somebody who is calling to wait until they can talk to the person they want<br><br>to continue doing something in difficult circumstances<br><br>to depend on something"|"<b>used to ask somebody to wait for a short time or to stop what they are doing</b><br><ul align='left'><li>Hang on—I'm not quite ready.</li><li>Now hang on a minute—you can't really believe what you just said!</li></ul><br><b>to hold something tightly</b><br><ul align='left'><li>Hang on tight—we're off!</li></ul><br><b>to wait for something to happen</b><br><ul align='left'><li>I haven't heard if I've got the job yet—they've kept me hanging on for days.</li></ul><br><b>used on the phone to ask somebody who is calling to wait until they can talk to the person they want</b><br><ul align='left'><li>Hang on—I'll just see if he's here.</li></ul><br><b>to continue doing something in difficult circumstances</b><br><ul align='left'><li>The team hung on for victory.</li></ul><br><b>to depend on something</b><br><ul align='left'><li>A lot hangs on this decision.</li></ul>"|""|""
"OXFORD_boarding_school"|"boarding school"|""|"noun"|"UK /ˈbɔːdɪŋ skuːl/<br> US /ˈbɔːrdɪŋ skuːl/"|"UK [sound:OXFORD_boarding_school_uk.mp3]<br> US [sound:OXFORD_boarding_school_us.mp3]"|"a school where children can live during the school year"|"<b>a school where children can live during the school year</b><br>"|""|""
"CAMBRIDGE_long"|"long"|""|"adverb | verb | adjective | noun"|"UK /lɒŋ/<br> US /lɑːŋ/"|"UK [sound:CAMBRIDGE_long_uk.mp3]<br> US [sound:CAMBRIDGE_long_us.mp3]"|"continuing for a large amount of time<br><br>being a distance between two points that is more than average or usual<br><br>used to describe a piece of writing that has a lot of pages or words<br><br>used to mean ""(for) a long time"", especially in questions and negative sentences<br><br>a long period of time before or after something<br><br>used with the past participle or the -ing form of the verb to mean that a state or activity has continued for a long time<br><br>used to say that something must happen before something else can happen<br><br>to want something very much<br><br>written abbreviation for<br>longitude<br><br>written abbreviation for <br>longitude"|"<b>continuing for a large amount of time</b><br><ul align='left'><li>a long film/meeting</li><li>I've been waiting a long time.</li><li>It's a long time since I worked there.</li><li>Apparently the sessions are an hour long.</li></ul><br><b>being a distance between two points that is more than average or usual</b><br><ul align='left'><li>long hair</li><li>long legs</li><li>a long dress</li><li>There was a long queue at the post office.</li><li>We're still a long way from the station.</li></ul><br><b>used to describe a piece of writing that has a lot of pages or words</b><br><ul align='left'><li>a long letter/book/report</li></ul><br><b>used to mean ""(for) a long time"", especially in questions and negative sentences</b><br><ul align='left'><li>Have you been waiting (for) long?</li><li>I'm just writing a letter but it won't take long.</li><li>How long have you been in England?</li><li>Don't rush - take as long as you like.</li><li>We've been walking all day long.</li><li>I've known her longer than you have.</li><li>I won't be staying much longer.</li></ul><br><b>a long period of time before or after something</b><br><ul align='left'><li>She left the house long before I arrived.</li><li>It wasn't long before he was back with his family.</li><li>He did not join them until long after they had eaten.</li></ul><br><b>used with the past participle or the -ing form of the verb to mean that a state or activity has continued for a long time</b><br><ul align='left'><li>a long-awaited letter</li><li>long-serving employees</li></ul><br><b>used to say that something must happen before something else can happen</b><br><ul align='left'><li>I can come as long as I can leave by 4.00.</li><li>Bring your friends by all means - just so long as I know how many are coming.</li></ul><br><b>to want something very much</b><br><ul align='left'><li>She longed to see him again.</li><li>I'm longing for news of him.</li></ul><br><b>written abbreviation for<br>longitude</b><br><br><b>written abbreviation for <br>longitude</b><br>"|""|""
"CAMBRIDGE_preternatural"|"preternatural"|""|"adjective"|"UK /ˌpriː.təˈnætʃ.ər.əl/<br> US /ˌpriː.t̬ɚˈnætʃ.ɚ.əl/"|"UK [sound:CAMBRIDGE_preternatural_uk.mp3]<br> US [sound:CAMBRIDGE_preternatural_us.mp3]"|"more than is usual or natural"|"<b>more than is usual or natural</b><br><ul align='left'><li>Anger gave me preternatural strength, and I managed to force the door open.</li></ul>"|""|""
"CAMBRIDGE_the"|"the"|""|"determiner"|"UK strong /ðiː/ weak /ðə/<br> US strong /ðiː/ weak /ðə/"|"UK [sound:CAMBRIDGE_the_uk.mp3]<br> US [sound:CAMBRIDGE_the_us.mp3]"|"used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening<br><br>used before some nouns that refer to place when you want to mention that type of place, without showing exactly which example of the place you mean<br><br>used before noun phrases in which the range of meaning of the noun is limited in some way<br><br>used to refer to things or people when only one exists at any one time<br><br>used before superlatives and other words, such as ""first"" or ""only"" or numbers showing something's position in a list, to refer to only one thing or person<br><br>used to say that the particular person or thing being mentioned is the best, most famous, etc. In this use, ""the"" is usually given strong pronunciation<br><br>used before some adjectives to turn the adjectives into nouns that refer to one particular person or thing described by the adjective<br><br>used before some adjectives to turn the adjectives into nouns that refer to people or things in general that can be described by the adjective<br><br>used before a singular noun to refer to all the things or people represented by that noun<br><br>used before a family name to refer to two people who are married or to a whole family<br><br>used before some nouns referring to musical instruments or dances to mean the type of instrument or dance in general<br><br>used before a noun to represent the activity connected with that noun<br><br>used before numbers that refer to periods of ten years<br><br>used before each of two comparative adjectives or adverbs when you want to show how one amount gets bigger or smaller in relation to the other<br><br>used before comparative adjectives or adverbs when you want to show that someone or something has become more or less of a particular state<br><br>used for emphasis when you are expressing a strong opinion about someone or something<br><br>used instead of a possessive adjective such as your, her, or my<br><br>enough<br><br>each; every"|"<b>used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening</b><br><ul align='left'><li>I just bought a new shirt and some new shoes. The shirt was pretty expensive, but the shoes weren't.</li><li>Please would you pass the salt.</li><li>I'll pick you up at the airport.</li></ul><br><b>used before some nouns that refer to place when you want to mention that type of place, without showing exactly which example of the place you mean</b><br><ul align='left'><li>We spent all day at the beach.</li><li>Let's go to the movies this evening.</li><li>I have to go to the bank and get some Euros.</li></ul><br><b>used before noun phrases in which the range of meaning of the noun is limited in some way</b><br><ul align='left'><li>I really enjoyed the book I've just finished reading.</li><li>Do you like the other kids in your class?</li></ul><br><b>used to refer to things or people when only one exists at any one time</b><br><ul align='left'><li>What will happen in the future?</li><li>After I leave college, I want to travel around the world.</li><li>They live in the north of Spain.</li><li>Ed Koch was for many years the mayor of New York.</li><li>When we went to Paris, we went up the Eiffel Tower.</li></ul><br><b>used before superlatives and other words, such as ""first"" or ""only"" or numbers showing something's position in a list, to refer to only one thing or person</b><br><ul align='left'><li>That was one of the best films I've ever seen.</li><li>What's the highest mountain in Asia?</li><li>I will never forget the first time we met.</li><li>You're the fifth person to ask me that question.</li></ul><br><b>used to say that the particular person or thing being mentioned is the best, most famous, etc. In this use, ""the"" is usually given strong pronunciation</b><br><ul align='left'><li>Harry's Bar is the place to go.</li><li>You don't mean you met the Will Smith (= the film star), do you?</li></ul><br><b>used before some adjectives to turn the adjectives into nouns that refer to one particular person or thing described by the adjective</b><br><ul align='left'><li>It seems that the deceased (= this particular dead person) had no living relatives.</li><li>I suppose we'll just have to wait for the inevitable (= the particular thing that is certain to happen).</li></ul><br><b>used before some adjectives to turn the adjectives into nouns that refer to people or things in general that can be described by the adjective</b><br><ul align='left'><li>She lives in a special home for the elderly.</li><li>The French were defeated at Waterloo in 1815.</li></ul><br><b>used before a singular noun to refer to all the things or people represented by that noun</b><br><ul align='left'><li>The panda is becoming an increasingly rare animal.</li><li>The car is responsible for causing a lot of damage to our environment.</li></ul><br><b>used before a family name to refer to two people who are married or to a whole family</b><br><ul align='left'><li>The Jacksons are coming to visit on Saturday.</li></ul><br><b>used before some nouns referring to musical instruments or dances to mean the type of instrument or dance in general</b><br><ul align='left'><li>Nico is learning to play the piano.</li><li>Can you do the waltz?</li></ul><br><b>used before a noun to represent the activity connected with that noun</b><br><ul align='left'><li>I'm going under the knife (= having a medical operation) next week.</li><li>It's not a good idea to spend more than three hours at the wheel (= driving a vehicle) without a break.</li></ul><br><b>used before numbers that refer to periods of ten years</b><br><ul align='left'><li>the 60s</li></ul><br><b>used before each of two comparative adjectives or adverbs when you want to show how one amount gets bigger or smaller in relation to the other</b><br><ul align='left'><li>The sooner I get this piece of work done, the sooner I can go home.</li></ul><br><b>used before comparative adjectives or adverbs when you want to show that someone or something has become more or less of a particular state</b><br><ul align='left'><li>She doesn't seem to be any the worse for her bad experience.</li></ul><br><b>used for emphasis when you are expressing a strong opinion about someone or something</b><br><ul align='left'><li>André's got a new job, the lucky devil.</li></ul><br><b>used instead of a possessive adjective such as your, her, or my</b><br><ul align='left'><li>He held his daughter by the arm (= her arm).</li><li>I can't remember where I parked the (= my) car.</li></ul><br><b>enough</b><br><ul align='left'><li>I'd like to go out tonight, but I don't think I have the energy.</li><li>I don't have the time to talk to you now.</li></ul><br><b>each; every</b><br><ul align='left'><li>It does 30 miles to the gallon.</li></ul>"|""|""
"CAMBRIDGE_carbo_loading"|"carbo-loading"|"<i>variant: </i>carb loading | carb-loading | carbohydrate loading"|"noun"|"UK /ˈkɑː.bəʊˌləʊ.dɪŋ/ /kɑː.bəʊˈhaɪ.dreɪt ˌləʊ.dɪŋ/<br> US /ˈkɑːr.boʊˌloʊ.dɪŋ/ /kɑːr.boʊˈhaɪ.dreɪt ˌloʊ.dɪŋ/"|"UK [sound:CAMBRIDGE_carbo_loading_uk.mp3]<br> US [sound:CAMBRIDGE_carbo_loading_us.mp3]"|"the practice of eating a lot of carbohydrates (= foods that provide the body with energy) so that the body stores as much energy as possible, especially before taking part in a long race or a competitive game"|"<b>the practice of eating a lot of carbohydrates (= foods that provide the body with energy) so that the body stores as much energy as possible, especially before taking part in a long race or a competitive game</b><br><ul align='left'><li>Carbo-loading is important, and some players consume 5,000 calories a day at specific points in the week.</li><li>Carb loading can be helpful for sports like long distance running, cycling, and swimming.</li><li>I do carb-loading to keep my electrolytes at a certain level.</li><li>He alternated a low-carbohydrate diet with periods of carbohydrate loading.</li></ul>"|""|""
"OXFORD_schedule_1"|"schedule"|""|"noun"|"UK /ˈʃedjuːl/<br> US /ˈskedʒuːl/"|"UK [sound:OXFORD_schedule_1_uk.mp3]<br> US [sound:OXFORD_schedule_1_us.mp3]"|"a plan that lists all the work that you have to do and when you must do each thing<br><br>a chart showing the times at which trains, buses and planes leave and arrive<br><br>a chart or plan of the classes that a student or teacher has in school each week<br><br>a list of the television and radio programmes that are on a particular channel and the times that they start<br><br>a written list of things, for example prices, rates or conditions"|"<b>a plan that lists all the work that you have to do and when you must do each thing</b><br><ul align='left'><li>I have a hectic schedule for the next few days.</li><li>a busy/gruelling/punishing schedule</li><li>We're working to a tight schedule (= we have a lot of things to do in a short time).</li><li>He has taken some time out of his busy schedule to talk to us.</li><li>They have a very flexible work schedule. </li><li>I have no time available in my regular schedule.</li><li><b>on schedule</b> Filming began on schedule (= at the planned time).</li><li>The project will be completed on schedule this summer.</li><li><b>ahead of schedule</b> The new bridge has been finished two years ahead of schedule.</li><li><b>behind schedule</b> The tunnel project has already fallen behind schedule.</li><li><b>according to schedule</b> At this stage everything is going according to schedule (= as planned).</li><li>We are trying desperately to keep to our schedule.</li><li>The countries have yet to set the schedule for the next round of talks.</li></ul><br><b>a chart showing the times at which trains, buses and planes leave and arrive</b><br><ul align='left'><li>Connor checked the bus schedules for the day.</li><li>disruptions to flight schedules caused by the strike</li></ul><br><b>a chart or plan of the classes that a student or teacher has in school each week</b><br><ul align='left'><li>Besides a full school schedule, Kayla's week is jam-packed with other activities.</li><li>What's your schedule like next semester?</li></ul><br><b>a list of the television and radio programmes that are on a particular channel and the times that they start</b><br><ul align='left'><li>The channel's schedules are filled with old films and repeats.</li><li>Channel 4 has published its spring schedules.</li><li>The show trebled ratings for the channel's afternoon schedule.</li></ul><br><b>a written list of things, for example prices, rates or conditions</b><br><ul align='left'><li>tax schedules</li></ul>"|""|""
"OXFORD_the_1"|"the"|""|"definite article"|"UK /ðə/ before vowels /ði/ strong form /ðiː/<br> US /ðə/ before vowels /ði/ strong form /ðiː/"|"UK [sound:OXFORD_the_1_uk.mp3]<br> US [sound:OXFORD_the_1_us.mp3]"|"used to refer to somebody/something that has already been mentioned or is easily understood<br><br>used to refer to somebody/something that is the only, normal or obvious one of their kind<br><br>used when explaining which person or thing you mean<br><br>used to refer to a thing in general rather than a particular example<br><br>used with adjectives to refer to a thing or a group of people described by the adjective<br><br>used before the plural of somebody’s last name to refer to a whole family or a married couple<br><br>used with a unit of measurement to mean ‘every’<br><br>enough of something for a particular purpose<br><br>used with a unit of time to mean ‘the present’<br><br>used, stressing the, to show that the person or thing referred to is famous or important"|"<b>used to refer to somebody/something that has already been mentioned or is easily understood</b><br><ul align='left'><li>There were three questions. The first two were relatively easy but the third one was hard.</li><li>There was an accident here yesterday. A car hit a tree and the driver was killed.</li><li>The heat was getting to be too much for me.</li><li>The nights are getting longer.</li></ul><br><b>used to refer to somebody/something that is the only, normal or obvious one of their kind</b><br><ul align='left'><li>the Mona Lisa</li><li>the Nile</li><li>the Queen</li><li>What's the matter?</li><li>The phone rang.</li><li>I patted her on the back.</li><li>How's the (= your) baby?</li></ul><br><b>used when explaining which person or thing you mean</b><br><ul align='left'><li>the house at the end of the street</li><li>The people I met there were very friendly.</li><li>It was the best day of my life.</li><li>You're the third person to ask me that.</li><li>Friday the thirteenth</li><li>Alexander the Great</li></ul><br><b>used to refer to a thing in general rather than a particular example</b><br><ul align='left'><li>He taught himself to play the violin.</li><li>The dolphin is an intelligent animal.</li><li>They placed the African elephant on their endangered list.</li><li>I heard it on the radio.</li><li>I'm usually out during the day.</li></ul><br><b>used with adjectives to refer to a thing or a group of people described by the adjective</b><br><ul align='left'><li>With him, you should always expect the unexpected.</li><li>the unemployed</li><li>the French</li></ul><br><b>used before the plural of somebody’s last name to refer to a whole family or a married couple</b><br><ul align='left'><li>Don't forget to invite the Jordans.</li></ul><br><b>used with a unit of measurement to mean ‘every’</b><br><ul align='left'><li>My car does forty miles to the gallon.</li><li>You get paid by the hour.</li></ul><br><b>enough of something for a particular purpose</b><br><ul align='left'><li>I wanted it but I didn't have the money.</li></ul><br><b>used with a unit of time to mean ‘the present’</b><br><ul align='left'><li>Why not have the dish of the day?</li><li>She's flavour of the month with him.</li></ul><br><b>used, stressing the, to show that the person or thing referred to is famous or important</b><br><ul align='left'><li>Sheryl Crow? Not the Sheryl Crow?</li><li>At that time London was the place to be.</li></ul>"|""|""
"OXFORD_house_1"|"house"|"<i>plural: </i>houses<br>"|"noun"|"UK /haʊs/ /ˈhaʊzɪz/<br> US /haʊs/ /ˈhaʊzɪz/"|"UK [sound:OXFORD_house_1_uk.mp3]<br> US [sound:OXFORD_house_1_us.mp3]"|"a building for people to live in, usually for one family<br><br>all the people living in a house<br><br>a building used for a particular purpose, for example for holding meetings in or keeping animals or goods in<br><br>used in the names of office buildings<br><br>a company involved in a particular kind of business; an institution of a particular kind<br><br>a restaurant<br><br>a group of people who meet to discuss and make the laws of a country<br><br>the House of Commons or the House of Lords in the UK; the House of Representatives in the US<br><br>a group of people discussing something in a formal debate<br><br>the part of a theatre where the audience sits; the audience at a particular performance<br><br>(in some British schools) an organized group of students of different ages who compete against other groups in sports competitions, etc. and who may, in boarding schools, live together in one building<br><br>an old and famous family<br><br>a type of electronic dance music with a fast beat"|"<b>a building for people to live in, usually for one family</b><br><ul align='left'><li><b>in a house</b> We live in a two-bedroom house.</li><li><b>in the house</b> It was so hot outside we stayed in the house.</li><li><b>into the house</b> He went into the house.</li><li><b>out of the house</b> I had to get out of the house.</li><li><b>inside the house</b> A light was on inside the house.</li><li><b>outside the house</b> There was a police van parked outside the house.</li><li><b>at somebody's house</b> Let's have a party at my house.</li><li>We need to build more houses in a way that respects the needs of the environment.</li><li>Investors were buying houses to rent them out.</li><li>What time do you leave the house in the morning (= to go to work)?</li><li>We're moving house (= leaving our house and going to live in a different one).</li><li>House prices (= prices of houses and flats) in London are still rising.</li><li>We went on a tour of the house and grounds (= for example, at a country house, open to the public).</li><li>They went from house to house, begging for food.</li></ul><br><b>all the people living in a house</b><br><ul align='left'><li>Be quiet or you'll wake the whole house!</li></ul><br><b>a building used for a particular purpose, for example for holding meetings in or keeping animals or goods in</b><br><ul align='left'><li>an opera house</li><li>a henhouse</li></ul><br><b>used in the names of office buildings</b><br><ul align='left'><li>Their offices are on the second floor of Chester House.</li></ul><br><b>a company involved in a particular kind of business; an institution of a particular kind</b><br><ul align='left'><li>a fashion/banking/publishing house</li><li>a religious house (= a convent or a monastery)</li></ul><br><b>a restaurant</b><br><ul align='left'><li>a steakhouse</li><li>a coffee house</li><li>a bottle of house wine (= the cheapest wine available in a particular restaurant, sometimes not listed by name)</li></ul><br><b>a group of people who meet to discuss and make the laws of a country</b><br><ul align='left'><li>Legislation requires approval by both houses of parliament.</li></ul><br><b>the House of Commons or the House of Lords in the UK; the House of Representatives in the US</b><br><br><b>a group of people discussing something in a formal debate</b><br><ul align='left'><li>I urge the house to vote against the motion.</li></ul><br><b>the part of a theatre where the audience sits; the audience at a particular performance</b><br><ul align='left'><li>playing to a full/packed/empty house (= to a large/small audience)</li><li>The spotlight faded and the house lights came up.</li></ul><br><b>(in some British schools) an organized group of students of different ages who compete against other groups in sports competitions, etc. and who may, in boarding schools, live together in one building</b><br><br><b>an old and famous family</b><br><ul align='left'><li>the House of Windsor (= the British royal family)</li></ul><br><b>a type of electronic dance music with a fast beat</b><br>"|""|""
